Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto (CPC),Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.01","Aceite de girasol, en bruto","2009","2009","toneladas","386164","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.01","Aceite de girasol, en bruto","2010","2010","toneladas","436100","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.01","Aceite de girasol, en bruto","2011","2011","toneladas","450200","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.01","Aceite de girasol, en bruto","2012","2012","toneladas","482300","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.01","Aceite de girasol, en bruto","2013","2013","toneladas","441000","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.01","Aceite de girasol, en bruto","2014","2014","toneladas","497500","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.01","Aceite de girasol, en bruto","2015","2015","toneladas","483000","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.01","Aceite de girasol, en bruto","2016","2016","toneladas","421500","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.01","Aceite de girasol, en bruto","2017","2017","toneladas","458800","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.01","Aceite de girasol, en bruto","2018","2018","toneladas","525300","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.01","Aceite de girasol, en bruto","2019","2019","toneladas","514900","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.01","Aceite de girasol, en bruto","2020","2020","toneladas","460000","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.01","Aceite de girasol, en bruto","2021","2021","toneladas","455900","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.01","Aceite de girasol, en bruto","2022","2022","toneladas","476600","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.01","Aceite de girasol, en bruto","2023","2023","toneladas","481200","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2168","Aceite, algodón","2005","2005","toneladas","20694","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2168","Aceite, algodón","2006","2006","toneladas","9322","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2168","Aceite, algodón","2007","2007","toneladas","7640","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2168","Aceite, algodón","2008","2008","toneladas","3464","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2168","Aceite, algodón","2009","2009","toneladas","13900","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2168","Aceite, algodón","2010","2010","toneladas","13900","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2168","Aceite, algodón","2011","2011","toneladas","10500","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2168","Aceite, algodón","2012","2012","toneladas","15500","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2168","Aceite, algodón","2013","2013","toneladas","15600","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2168","Aceite, algodón","2014","2014","toneladas","16800","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2168","Aceite, algodón","2015","2015","toneladas","14600","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2168","Aceite, algodón","2016","2016","toneladas","15400","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2168","Aceite, algodón","2017","2017","toneladas","14200","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2168","Aceite, algodón","2018","2018","toneladas","12400","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2168","Aceite, algodón","2019","2019","toneladas","13100","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2168","Aceite, algodón","2020","2020","toneladas","13100","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2168","Aceite, algodón","2021","2021","toneladas","12200","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2168","Aceite, algodón","2022","2022","toneladas","11400","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2168","Aceite, algodón","2023","2023","toneladas","12400","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.14","Aceite, almendra de palma","2005","2005","toneladas","138.65","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.14","Aceite, almendra de palma","2006","2006","toneladas","54.99","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.14","Aceite, almendra de palma","2007","2007","toneladas","0","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.14","Aceite, almendra de palma","2008","2008","toneladas","0","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.14","Aceite, almendra de palma","2009","2009","toneladas","0","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.14","Aceite, almendra de palma","2010","2010","toneladas","0","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.14","Aceite, almendra de palma","2011","2011","toneladas","0","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.14","Aceite, almendra de palma","2012","2012","toneladas","0","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.14","Aceite, almendra de palma","2013","2013","toneladas","0","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.14","Aceite, almendra de palma","2014","2014","toneladas","0","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.14","Aceite, almendra de palma","2015","2015","toneladas","0","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.14","Aceite, almendra de palma","2016","2016","toneladas","0","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.14","Aceite, almendra de palma","2017","2017","toneladas","0","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.14","Aceite, almendra de palma","2018","2018","toneladas","0","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.02","Aceite, cártamo, alazor","2005","2005","toneladas","160.45","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.02","Aceite, cártamo, alazor","2006","2006","toneladas","139.84","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.02","Aceite, cártamo, alazor","2007","2007","toneladas","73.37","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.02","Aceite, cártamo, alazor","2008","2008","toneladas","37.33","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.02","Aceite, cártamo, alazor","2009","2009","toneladas","725.21","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.02","Aceite, cártamo, alazor","2010","2010","toneladas","977.99","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.02","Aceite, cártamo, alazor","2011","2011","toneladas","1744","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.02","Aceite, cártamo, alazor","2012","2012","toneladas","511","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.02","Aceite, cártamo, alazor","2013","2013","toneladas","984","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.02","Aceite, cártamo, alazor","2014","2014","toneladas","1056.84","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.02","Aceite, cártamo, alazor","2015","2015","toneladas","875.18","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.02","Aceite, cártamo, alazor","2016","2016","toneladas","1190.88","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.02","Aceite, cártamo, alazor","2017","2017","toneladas","1367.47","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21631.02","Aceite, cártamo, alazor","2018","2018","toneladas","3692.24","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2166","Aceite, copra","2005","2005","toneladas","0","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2166","Aceite, copra","2006","2006","toneladas","0","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2166","Aceite, copra","2007","2007","toneladas","0","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2166","Aceite, copra","2008","2008","toneladas","0","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2166","Aceite, copra","2009","2009","toneladas","0","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2166","Aceite, copra","2010","2010","toneladas","0","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2166","Aceite, copra","2011","2011","toneladas","0","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2166","Aceite, copra","2012","2012","toneladas","0","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2166","Aceite, copra","2013","2013","toneladas","0","I","Valor imputado por una agencia receptora",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2166","Aceite, copra","2014","2014","toneladas","0","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2166","Aceite, copra","2015","2015","toneladas","0","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2166","Aceite, copra","2016","2016","toneladas","0","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2166","Aceite, copra","2017","2017","toneladas","0","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2166","Aceite, copra","2018","2018","toneladas","0","E","Valor estimado",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.12","Aceite, linaza","2005","2005","toneladas","1000","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.12","Aceite, linaza","2006","2006","toneladas","800","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.12","Aceite, linaza","2007","2007","toneladas","800","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.12","Aceite, linaza","2008","2008","toneladas","700","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.12","Aceite, linaza","2009","2009","toneladas","700","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.12","Aceite, linaza","2010","2010","toneladas","1000","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.12","Aceite, linaza","2011","2011","toneladas","1000","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.12","Aceite, linaza","2012","2012","toneladas","1300","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.12","Aceite, linaza","2013","2013","toneladas","1400","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.12","Aceite, linaza","2014","2014","toneladas","1500","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.12","Aceite, linaza","2015","2015","toneladas","1400","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.12","Aceite, linaza","2016","2016","toneladas","1500","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.12","Aceite, linaza","2017","2017","toneladas","1800","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.12","Aceite, linaza","2018","2018","toneladas","2000","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.12","Aceite, linaza","2019","2019","toneladas","2100","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.12","Aceite, linaza","2020","2020","toneladas","1800","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.12","Aceite, linaza","2021","2021","toneladas","2200","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.12","Aceite, linaza","2022","2022","toneladas","3100","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.12","Aceite, linaza","2023","2023","toneladas","2500","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.02","Aceite, maíz","2005","2005","toneladas","17200","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.02","Aceite, maíz","2006","2006","toneladas","17100","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.02","Aceite, maíz","2007","2007","toneladas","17400","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.02","Aceite, maíz","2008","2008","toneladas","17400","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.02","Aceite, maíz","2009","2009","toneladas","18300","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.02","Aceite, maíz","2010","2010","toneladas","19700","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.02","Aceite, maíz","2011","2011","toneladas","18600","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.02","Aceite, maíz","2012","2012","toneladas","18100","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.02","Aceite, maíz","2013","2013","toneladas","18400","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.02","Aceite, maíz","2014","2014","toneladas","18600","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.02","Aceite, maíz","2015","2015","toneladas","19900","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.02","Aceite, maíz","2016","2016","toneladas","23200","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.02","Aceite, maíz","2017","2017","toneladas","29400","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.02","Aceite, maíz","2018","2018","toneladas","30600","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.02","Aceite, maíz","2019","2019","toneladas","30000","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.02","Aceite, maíz","2020","2020","toneladas","24500","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.02","Aceite, maíz","2021","2021","toneladas","26500","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.02","Aceite, maíz","2022","2022","toneladas","29100","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","21691.02","Aceite, maíz","2023","2023","toneladas","32000","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2167","Aceite, oliva","2005","2005","toneladas","819428","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2167","Aceite, oliva","2006","2006","toneladas","1092602","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2167","Aceite, oliva","2007","2007","toneladas","1192664","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2167","Aceite, oliva","2008","2008","toneladas","1044687","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2167","Aceite, oliva","2009","2009","toneladas","1384383","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2167","Aceite, oliva","2010","2010","toneladas","1395210","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2167","Aceite, oliva","2011","2011","toneladas","1567523","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2167","Aceite, oliva","2012","2012","toneladas","652687","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2167","Aceite, oliva","2013","2013","toneladas","1765248","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2167","Aceite, oliva","2014","2014","toneladas","839788","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2167","Aceite, oliva","2015","2015","toneladas","1390865","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2167","Aceite, oliva","2016","2016","toneladas","1281738","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2167","Aceite, oliva","2017","2017","toneladas","1238629","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2167","Aceite, oliva","2018","2018","toneladas","1790309","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2167","Aceite, oliva","2019","2019","toneladas","1129233","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2167","Aceite, oliva","2020","2020","toneladas","1356411","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2167","Aceite, oliva","2021","2021","toneladas","1493008","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2167","Aceite, oliva","2022","2022","toneladas","666013","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2167","Aceite, oliva","2023","2023","toneladas","854001","A","Cifra oficial",""
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2161","Aceite, soja","2005","2005","toneladas","395800","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2161","Aceite, soja","2006","2006","toneladas","354400","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2161","Aceite, soja","2007","2007","toneladas","444300","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2161","Aceite, soja","2008","2008","toneladas","549500","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2161","Aceite, soja","2009","2009","toneladas","509700","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2161","Aceite, soja","2010","2010","toneladas","563300","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2161","Aceite, soja","2011","2011","toneladas","562300","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2161","Aceite, soja","2012","2012","toneladas","582800","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2161","Aceite, soja","2013","2013","toneladas","592000","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2161","Aceite, soja","2014","2014","toneladas","586600","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2161","Aceite, soja","2015","2015","toneladas","604000","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2161","Aceite, soja","2016","2016","toneladas","565900","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2161","Aceite, soja","2017","2017","toneladas","555500","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2161","Aceite, soja","2018","2018","toneladas","573100","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2161","Aceite, soja","2019","2019","toneladas","579700","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2161","Aceite, soja","2020","2020","toneladas","594000","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2161","Aceite, soja","2021","2021","toneladas","622800","X","Cifra de fuente externa","Cifras no oficiales"
"QCL","Cultivos y productos de ganadería","724","España","5510","Producción","2161","Aceite, soja","2022","2022","toneladas","563300","X","Cifra de fuente externa","Cifras no oficiales"
