Agric_ONU_ID,Área,Elemento,Producto,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
23,España,Producción,"Aceite de girasol, en bruto",2009,toneladas,386164.0,I,Valor imputado por una agencia receptora
24,España,Producción,"Aceite de girasol, en bruto",2010,toneladas,436100.0,X,Cifra de fuente externa
25,España,Producción,"Aceite de girasol, en bruto",2011,toneladas,450200.0,X,Cifra de fuente externa
26,España,Producción,"Aceite de girasol, en bruto",2012,toneladas,482300.0,X,Cifra de fuente externa
27,España,Producción,"Aceite de girasol, en bruto",2013,toneladas,441000.0,X,Cifra de fuente externa
28,España,Producción,"Aceite de girasol, en bruto",2014,toneladas,497500.0,X,Cifra de fuente externa
29,España,Producción,"Aceite de girasol, en bruto",2015,toneladas,483000.0,X,Cifra de fuente externa
30,España,Producción,"Aceite de girasol, en bruto",2016,toneladas,421500.0,X,Cifra de fuente externa
31,España,Producción,"Aceite de girasol, en bruto",2017,toneladas,458800.0,X,Cifra de fuente externa
32,España,Producción,"Aceite de girasol, en bruto",2018,toneladas,525300.0,X,Cifra de fuente externa
33,España,Producción,"Aceite de girasol, en bruto",2019,toneladas,514900.0,X,Cifra de fuente externa
34,España,Producción,"Aceite de girasol, en bruto",2020,toneladas,460000.0,X,Cifra de fuente externa
35,España,Producción,"Aceite de girasol, en bruto",2021,toneladas,455900.0,X,Cifra de fuente externa
36,España,Producción,"Aceite de girasol, en bruto",2022,toneladas,476600.0,X,Cifra de fuente externa
37,España,Producción,"Aceite de girasol, en bruto",2023,toneladas,481200.0,X,Cifra de fuente externa
38,España,Producción,"Aceite, algodón",2005,toneladas,20694.0,A,Cifra oficial
39,España,Producción,"Aceite, algodón",2006,toneladas,9322.0,A,Cifra oficial
40,España,Producción,"Aceite, algodón",2007,toneladas,7640.0,A,Cifra oficial
41,España,Producción,"Aceite, algodón",2008,toneladas,3464.0,A,Cifra oficial
42,España,Producción,"Aceite, algodón",2009,toneladas,13900.0,X,Cifra de fuente externa
43,España,Producción,"Aceite, algodón",2010,toneladas,13900.0,X,Cifra de fuente externa
44,España,Producción,"Aceite, algodón",2011,toneladas,10500.0,X,Cifra de fuente externa
45,España,Producción,"Aceite, algodón",2012,toneladas,15500.0,X,Cifra de fuente externa
46,España,Producción,"Aceite, algodón",2013,toneladas,15600.0,X,Cifra de fuente externa
47,España,Producción,"Aceite, algodón",2014,toneladas,16800.0,X,Cifra de fuente externa
48,España,Producción,"Aceite, algodón",2015,toneladas,14600.0,X,Cifra de fuente externa
49,España,Producción,"Aceite, algodón",2016,toneladas,15400.0,X,Cifra de fuente externa
50,España,Producción,"Aceite, algodón",2017,toneladas,14200.0,X,Cifra de fuente externa
51,España,Producción,"Aceite, algodón",2018,toneladas,12400.0,X,Cifra de fuente externa
52,España,Producción,"Aceite, algodón",2019,toneladas,13100.0,X,Cifra de fuente externa
53,España,Producción,"Aceite, algodón",2020,toneladas,13100.0,X,Cifra de fuente externa
54,España,Producción,"Aceite, algodón",2021,toneladas,12200.0,X,Cifra de fuente externa
55,España,Producción,"Aceite, algodón",2022,toneladas,11400.0,X,Cifra de fuente externa
56,España,Producción,"Aceite, algodón",2023,toneladas,12400.0,X,Cifra de fuente externa
57,España,Producción,"Aceite, almendra de palma",2005,toneladas,138.65,I,Valor imputado por una agencia receptora
58,España,Producción,"Aceite, almendra de palma",2006,toneladas,54.99,I,Valor imputado por una agencia receptora
59,España,Producción,"Aceite, almendra de palma",2007,toneladas,0.0,I,Valor imputado por una agencia receptora
60,España,Producción,"Aceite, almendra de palma",2008,toneladas,0.0,I,Valor imputado por una agencia receptora
61,España,Producción,"Aceite, almendra de palma",2009,toneladas,0.0,I,Valor imputado por una agencia receptora
62,España,Producción,"Aceite, almendra de palma",2010,toneladas,0.0,I,Valor imputado por una agencia receptora
63,España,Producción,"Aceite, almendra de palma",2011,toneladas,0.0,I,Valor imputado por una agencia receptora
64,España,Producción,"Aceite, almendra de palma",2012,toneladas,0.0,I,Valor imputado por una agencia receptora
65,España,Producción,"Aceite, almendra de palma",2013,toneladas,0.0,I,Valor imputado por una agencia receptora
66,España,Producción,"Aceite, almendra de palma",2014,toneladas,0.0,E,Valor estimado
67,España,Producción,"Aceite, almendra de palma",2015,toneladas,0.0,E,Valor estimado
68,España,Producción,"Aceite, almendra de palma",2016,toneladas,0.0,E,Valor estimado
69,España,Producción,"Aceite, almendra de palma",2017,toneladas,0.0,E,Valor estimado
70,España,Producción,"Aceite, almendra de palma",2018,toneladas,0.0,E,Valor estimado
71,España,Producción,"Aceite, cártamo, alazor",2005,toneladas,160.45,I,Valor imputado por una agencia receptora
72,España,Producción,"Aceite, cártamo, alazor",2006,toneladas,139.84,I,Valor imputado por una agencia receptora
73,España,Producción,"Aceite, cártamo, alazor",2007,toneladas,73.37,I,Valor imputado por una agencia receptora
74,España,Producción,"Aceite, cártamo, alazor",2008,toneladas,37.33,I,Valor imputado por una agencia receptora
75,España,Producción,"Aceite, cártamo, alazor",2009,toneladas,725.21,I,Valor imputado por una agencia receptora
76,España,Producción,"Aceite, cártamo, alazor",2010,toneladas,977.99,I,Valor imputado por una agencia receptora
77,España,Producción,"Aceite, cártamo, alazor",2011,toneladas,1744.0,A,Cifra oficial
78,España,Producción,"Aceite, cártamo, alazor",2012,toneladas,511.0,A,Cifra oficial
79,España,Producción,"Aceite, cártamo, alazor",2013,toneladas,984.0,A,Cifra oficial
80,España,Producción,"Aceite, cártamo, alazor",2014,toneladas,1056.84,I,Valor imputado por una agencia receptora
81,España,Producción,"Aceite, cártamo, alazor",2015,toneladas,875.18,I,Valor imputado por una agencia receptora
82,España,Producción,"Aceite, cártamo, alazor",2016,toneladas,1190.88,I,Valor imputado por una agencia receptora
83,España,Producción,"Aceite, cártamo, alazor",2017,toneladas,1367.47,I,Valor imputado por una agencia receptora
84,España,Producción,"Aceite, cártamo, alazor",2018,toneladas,3692.24,I,Valor imputado por una agencia receptora
85,España,Producción,"Aceite, copra",2005,toneladas,0.0,I,Valor imputado por una agencia receptora
86,España,Producción,"Aceite, copra",2006,toneladas,0.0,I,Valor imputado por una agencia receptora
87,España,Producción,"Aceite, copra",2007,toneladas,0.0,I,Valor imputado por una agencia receptora
88,España,Producción,"Aceite, copra",2008,toneladas,0.0,I,Valor imputado por una agencia receptora
89,España,Producción,"Aceite, copra",2009,toneladas,0.0,I,Valor imputado por una agencia receptora
90,España,Producción,"Aceite, copra",2010,toneladas,0.0,I,Valor imputado por una agencia receptora
91,España,Producción,"Aceite, copra",2011,toneladas,0.0,I,Valor imputado por una agencia receptora
92,España,Producción,"Aceite, copra",2012,toneladas,0.0,I,Valor imputado por una agencia receptora
93,España,Producción,"Aceite, copra",2013,toneladas,0.0,I,Valor imputado por una agencia receptora
94,España,Producción,"Aceite, copra",2014,toneladas,0.0,E,Valor estimado
95,España,Producción,"Aceite, copra",2015,toneladas,0.0,E,Valor estimado
96,España,Producción,"Aceite, copra",2016,toneladas,0.0,E,Valor estimado
97,España,Producción,"Aceite, copra",2017,toneladas,0.0,E,Valor estimado
98,España,Producción,"Aceite, copra",2018,toneladas,0.0,E,Valor estimado
99,España,Producción,"Aceite, linaza",2005,toneladas,1000.0,X,Cifra de fuente externa
100,España,Producción,"Aceite, linaza",2006,toneladas,800.0,X,Cifra de fuente externa
101,España,Producción,"Aceite, linaza",2007,toneladas,800.0,X,Cifra de fuente externa
102,España,Producción,"Aceite, linaza",2008,toneladas,700.0,X,Cifra de fuente externa
103,España,Producción,"Aceite, linaza",2009,toneladas,700.0,X,Cifra de fuente externa
104,España,Producción,"Aceite, linaza",2010,toneladas,1000.0,X,Cifra de fuente externa
105,España,Producción,"Aceite, linaza",2011,toneladas,1000.0,X,Cifra de fuente externa
106,España,Producción,"Aceite, linaza",2012,toneladas,1300.0,X,Cifra de fuente externa
107,España,Producción,"Aceite, linaza",2013,toneladas,1400.0,X,Cifra de fuente externa
108,España,Producción,"Aceite, linaza",2014,toneladas,1500.0,X,Cifra de fuente externa
109,España,Producción,"Aceite, linaza",2015,toneladas,1400.0,X,Cifra de fuente externa
110,España,Producción,"Aceite, linaza",2016,toneladas,1500.0,X,Cifra de fuente externa
111,España,Producción,"Aceite, linaza",2017,toneladas,1800.0,X,Cifra de fuente externa
112,España,Producción,"Aceite, linaza",2018,toneladas,2000.0,X,Cifra de fuente externa
113,España,Producción,"Aceite, linaza",2019,toneladas,2100.0,X,Cifra de fuente externa
114,España,Producción,"Aceite, linaza",2020,toneladas,1800.0,X,Cifra de fuente externa
115,España,Producción,"Aceite, linaza",2021,toneladas,2200.0,X,Cifra de fuente externa
116,España,Producción,"Aceite, linaza",2022,toneladas,3100.0,X,Cifra de fuente externa
117,España,Producción,"Aceite, linaza",2023,toneladas,2500.0,X,Cifra de fuente externa
118,España,Producción,"Aceite, maíz",2005,toneladas,17200.0,X,Cifra de fuente externa
119,España,Producción,"Aceite, maíz",2006,toneladas,17100.0,X,Cifra de fuente externa
120,España,Producción,"Aceite, maíz",2007,toneladas,17400.0,X,Cifra de fuente externa
121,España,Producción,"Aceite, maíz",2008,toneladas,17400.0,X,Cifra de fuente externa
122,España,Producción,"Aceite, maíz",2009,toneladas,18300.0,X,Cifra de fuente externa
123,España,Producción,"Aceite, maíz",2010,toneladas,19700.0,X,Cifra de fuente externa
124,España,Producción,"Aceite, maíz",2011,toneladas,18600.0,X,Cifra de fuente externa
125,España,Producción,"Aceite, maíz",2012,toneladas,18100.0,X,Cifra de fuente externa
126,España,Producción,"Aceite, maíz",2013,toneladas,18400.0,X,Cifra de fuente externa
127,España,Producción,"Aceite, maíz",2014,toneladas,18600.0,X,Cifra de fuente externa
128,España,Producción,"Aceite, maíz",2015,toneladas,19900.0,X,Cifra de fuente externa
129,España,Producción,"Aceite, maíz",2016,toneladas,23200.0,X,Cifra de fuente externa
130,España,Producción,"Aceite, maíz",2017,toneladas,29400.0,X,Cifra de fuente externa
131,España,Producción,"Aceite, maíz",2018,toneladas,30600.0,X,Cifra de fuente externa
132,España,Producción,"Aceite, maíz",2019,toneladas,30000.0,X,Cifra de fuente externa
133,España,Producción,"Aceite, maíz",2020,toneladas,24500.0,X,Cifra de fuente externa
134,España,Producción,"Aceite, maíz",2021,toneladas,26500.0,X,Cifra de fuente externa
135,España,Producción,"Aceite, maíz",2022,toneladas,29100.0,X,Cifra de fuente externa
136,España,Producción,"Aceite, maíz",2023,toneladas,32000.0,X,Cifra de fuente externa
137,España,Producción,"Aceite, oliva",2005,toneladas,819428.0,A,Cifra oficial
138,España,Producción,"Aceite, oliva",2006,toneladas,1092602.0,A,Cifra oficial
139,España,Producción,"Aceite, oliva",2007,toneladas,1192664.0,A,Cifra oficial
140,España,Producción,"Aceite, oliva",2008,toneladas,1044687.0,A,Cifra oficial
141,España,Producción,"Aceite, oliva",2009,toneladas,1384383.0,A,Cifra oficial
142,España,Producción,"Aceite, oliva",2010,toneladas,1395210.0,A,Cifra oficial
143,España,Producción,"Aceite, oliva",2011,toneladas,1567523.0,A,Cifra oficial
144,España,Producción,"Aceite, oliva",2012,toneladas,652687.0,A,Cifra oficial
145,España,Producción,"Aceite, oliva",2013,toneladas,1765248.0,A,Cifra oficial
146,España,Producción,"Aceite, oliva",2014,toneladas,839788.0,A,Cifra oficial
147,España,Producción,"Aceite, oliva",2015,toneladas,1390865.0,A,Cifra oficial
148,España,Producción,"Aceite, oliva",2016,toneladas,1281738.0,A,Cifra oficial
149,España,Producción,"Aceite, oliva",2017,toneladas,1238629.0,A,Cifra oficial
150,España,Producción,"Aceite, oliva",2018,toneladas,1790309.0,A,Cifra oficial
151,España,Producción,"Aceite, oliva",2019,toneladas,1129233.0,A,Cifra oficial
152,España,Producción,"Aceite, oliva",2020,toneladas,1356411.0,A,Cifra oficial
153,España,Producción,"Aceite, oliva",2021,toneladas,1493008.0,A,Cifra oficial
154,España,Producción,"Aceite, oliva",2022,toneladas,666013.0,A,Cifra oficial
155,España,Producción,"Aceite, oliva",2023,toneladas,854001.0,A,Cifra oficial
156,España,Producción,"Aceite, soja",2005,toneladas,395800.0,X,Cifra de fuente externa
157,España,Producción,"Aceite, soja",2006,toneladas,354400.0,X,Cifra de fuente externa
158,España,Producción,"Aceite, soja",2007,toneladas,444300.0,X,Cifra de fuente externa
159,España,Producción,"Aceite, soja",2008,toneladas,549500.0,X,Cifra de fuente externa
160,España,Producción,"Aceite, soja",2009,toneladas,509700.0,X,Cifra de fuente externa
161,España,Producción,"Aceite, soja",2010,toneladas,563300.0,X,Cifra de fuente externa
162,España,Producción,"Aceite, soja",2011,toneladas,562300.0,X,Cifra de fuente externa
163,España,Producción,"Aceite, soja",2012,toneladas,582800.0,X,Cifra de fuente externa
164,España,Producción,"Aceite, soja",2013,toneladas,592000.0,X,Cifra de fuente externa
165,España,Producción,"Aceite, soja",2014,toneladas,586600.0,X,Cifra de fuente externa
166,España,Producción,"Aceite, soja",2015,toneladas,604000.0,X,Cifra de fuente externa
167,España,Producción,"Aceite, soja",2016,toneladas,565900.0,X,Cifra de fuente externa
168,España,Producción,"Aceite, soja",2017,toneladas,555500.0,X,Cifra de fuente externa
169,España,Producción,"Aceite, soja",2018,toneladas,573100.0,X,Cifra de fuente externa
170,España,Producción,"Aceite, soja",2019,toneladas,579700.0,X,Cifra de fuente externa
171,España,Producción,"Aceite, soja",2020,toneladas,594000.0,X,Cifra de fuente externa
172,España,Producción,"Aceite, soja",2021,toneladas,622800.0,X,Cifra de fuente externa
173,España,Producción,"Aceite, soja",2022,toneladas,563300.0,X,Cifra de fuente externa
174,España,Producción,"Aceite, soja",2023,toneladas,579400.0,X,Cifra de fuente externa
175,España,Área cosechada,"Aceitunas, olivas",2005,ha,2465258.0,A,Cifra oficial
176,España,Rendimiento,"Aceitunas, olivas",2005,kg/ha,1631.4,A,Cifra oficial
177,España,Producción,"Aceitunas, olivas",2005,toneladas,4021720.0,A,Cifra oficial
178,España,Área cosechada,"Aceitunas, olivas",2006,ha,2483697.0,A,Cifra oficial
179,España,Rendimiento,"Aceitunas, olivas",2006,kg/ha,2286.5,A,Cifra oficial
180,España,Producción,"Aceitunas, olivas",2006,toneladas,5679021.0,A,Cifra oficial
181,España,Área cosechada,"Aceitunas, olivas",2007,ha,2470162.0,A,Cifra oficial
182,España,Rendimiento,"Aceitunas, olivas",2007,kg/ha,2485.8,A,Cifra oficial
183,España,Producción,"Aceitunas, olivas",2007,toneladas,6140251.0,A,Cifra oficial
184,España,Área cosechada,"Aceitunas, olivas",2008,ha,2450471.0,A,Cifra oficial
185,España,Rendimiento,"Aceitunas, olivas",2008,kg/ha,2273.3,A,Cifra oficial
186,España,Producción,"Aceitunas, olivas",2008,toneladas,5570727.0,A,Cifra oficial
187,España,Área cosechada,"Aceitunas, olivas",2009,ha,2449828.0,A,Cifra oficial
188,España,Rendimiento,"Aceitunas, olivas",2009,kg/ha,2846.0,A,Cifra oficial
189,España,Producción,"Aceitunas, olivas",2009,toneladas,6972094.0,A,Cifra oficial
190,España,Área cosechada,"Aceitunas, olivas",2010,ha,2475466.0,A,Cifra oficial
191,España,Rendimiento,"Aceitunas, olivas",2010,kg/ha,2907.6,A,Cifra oficial
192,España,Producción,"Aceitunas, olivas",2010,toneladas,7197600.0,A,Cifra oficial
193,España,Área cosechada,"Aceitunas, olivas",2011,ha,2503675.0,A,Cifra oficial
194,España,Rendimiento,"Aceitunas, olivas",2011,kg/ha,3123.4,A,Cifra oficial
195,España,Producción,"Aceitunas, olivas",2011,toneladas,7820060.0,A,Cifra oficial
196,España,Área cosechada,"Aceitunas, olivas",2012,ha,2504261.0,A,Cifra oficial
197,España,Rendimiento,"Aceitunas, olivas",2012,kg/ha,1537.1,A,Cifra oficial
198,España,Producción,"Aceitunas, olivas",2012,toneladas,3849300.0,A,Cifra oficial
199,España,Área cosechada,"Aceitunas, olivas",2013,ha,2507000.0,A,Cifra oficial
200,España,Rendimiento,"Aceitunas, olivas",2013,kg/ha,3700.1,A,Cifra oficial
201,España,Producción,"Aceitunas, olivas",2013,toneladas,9276100.0,A,Cifra oficial
202,España,Área cosechada,"Aceitunas, olivas",2014,ha,2515800.0,A,Cifra oficial
203,España,Rendimiento,"Aceitunas, olivas",2014,kg/ha,1812.7,A,Cifra oficial
204,España,Producción,"Aceitunas, olivas",2014,toneladas,4560400.0,A,Cifra oficial
205,España,Área cosechada,"Aceitunas, olivas",2015,ha,2351370.0,A,Cifra oficial
206,España,Rendimiento,"Aceitunas, olivas",2015,kg/ha,2529.5,A,Cifra oficial
207,España,Producción,"Aceitunas, olivas",2015,toneladas,5947700.0,A,Cifra oficial
208,España,Área cosechada,"Aceitunas, olivas",2016,ha,2521694.0,A,Cifra oficial
209,España,Rendimiento,"Aceitunas, olivas",2016,kg/ha,2808.6,A,Cifra oficial
210,España,Producción,"Aceitunas, olivas",2016,toneladas,7082550.0,A,Cifra oficial
211,España,Área cosechada,"Aceitunas, olivas",2017,ha,2554829.0,A,Cifra oficial
212,España,Rendimiento,"Aceitunas, olivas",2017,kg/ha,2563.6,A,Cifra oficial
213,España,Producción,"Aceitunas, olivas",2017,toneladas,6549499.0,A,Cifra oficial
214,España,Área cosechada,"Aceitunas, olivas",2018,ha,2579000.0,A,Cifra oficial
215,España,Rendimiento,"Aceitunas, olivas",2018,kg/ha,3807.5,A,Cifra oficial
216,España,Producción,"Aceitunas, olivas",2018,toneladas,9819570.0,A,Cifra oficial
217,España,Área cosechada,"Aceitunas, olivas",2019,ha,2601900.0,A,Cifra oficial
218,España,Rendimiento,"Aceitunas, olivas",2019,kg/ha,2292.6,A,Cifra oficial
219,España,Producción,"Aceitunas, olivas",2019,toneladas,5965080.0,A,Cifra oficial
220,España,Área cosechada,"Aceitunas, olivas",2020,ha,2623720.0,A,Cifra oficial
221,España,Rendimiento,"Aceitunas, olivas",2020,kg/ha,3101.6,A,Cifra oficial
222,España,Producción,"Aceitunas, olivas",2020,toneladas,8137810.0,A,Cifra oficial
223,España,Área cosechada,"Aceitunas, olivas",2021,ha,2623290.0,A,Cifra oficial
224,España,Rendimiento,"Aceitunas, olivas",2021,kg/ha,3147.4,A,Cifra oficial
225,España,Producción,"Aceitunas, olivas",2021,toneladas,8256550.0,A,Cifra oficial
226,España,Área cosechada,"Aceitunas, olivas",2022,ha,2635280.0,A,Cifra oficial
227,España,Rendimiento,"Aceitunas, olivas",2022,kg/ha,1495.1,A,Cifra oficial
228,España,Producción,"Aceitunas, olivas",2022,toneladas,3940070.0,A,Cifra oficial
229,España,Área cosechada,"Aceitunas, olivas",2023,ha,2651110.0,A,Cifra oficial
230,España,Rendimiento,"Aceitunas, olivas",2023,kg/ha,1924.1,A,Cifra oficial
231,España,Producción,"Aceitunas, olivas",2023,toneladas,5101010.0,A,Cifra oficial
232,España,Área cosechada,"Aceitunas, olivas",2024,ha,2645680.0,A,Cifra oficial
233,España,Rendimiento,"Aceitunas, olivas",2024,kg/ha,3141.1,A,Cifra oficial
234,España,Producción,"Aceitunas, olivas",2024,toneladas,8310250.0,A,Cifra oficial
235,España,Área cosechada,Aguacates,2005,ha,9907.0,A,Cifra oficial
236,España,Rendimiento,Aguacates,2005,kg/ha,7569.8,A,Cifra oficial
237,España,Producción,Aguacates,2005,toneladas,74994.0,A,Cifra oficial
238,España,Área cosechada,Aguacates,2006,ha,9801.0,A,Cifra oficial
239,España,Rendimiento,Aguacates,2006,kg/ha,8144.5,A,Cifra oficial
240,España,Producción,Aguacates,2006,toneladas,79824.0,A,Cifra oficial
241,España,Área cosechada,Aguacates,2007,ha,9980.0,A,Cifra oficial
242,España,Rendimiento,Aguacates,2007,kg/ha,8228.1,A,Cifra oficial
243,España,Producción,Aguacates,2007,toneladas,82116.0,A,Cifra oficial
244,España,Área cosechada,Aguacates,2008,ha,10023.0,A,Cifra oficial
245,España,Rendimiento,Aguacates,2008,kg/ha,7341.6,A,Cifra oficial
246,España,Producción,Aguacates,2008,toneladas,73585.0,A,Cifra oficial
247,España,Área cosechada,Aguacates,2009,ha,10016.0,A,Cifra oficial
248,España,Rendimiento,Aguacates,2009,kg/ha,7181.6,A,Cifra oficial
249,España,Producción,Aguacates,2009,toneladas,71931.0,A,Cifra oficial
250,España,Área cosechada,Aguacates,2010,ha,10434.0,A,Cifra oficial
251,España,Rendimiento,Aguacates,2010,kg/ha,9332.8,A,Cifra oficial
252,España,Producción,Aguacates,2010,toneladas,97378.0,A,Cifra oficial
253,España,Área cosechada,Aguacates,2011,ha,10558.0,A,Cifra oficial
254,España,Rendimiento,Aguacates,2011,kg/ha,7901.7,A,Cifra oficial
255,España,Producción,Aguacates,2011,toneladas,83426.0,A,Cifra oficial
256,España,Área cosechada,Aguacates,2012,ha,10645.0,A,Cifra oficial
257,España,Rendimiento,Aguacates,2012,kg/ha,7171.2,A,Cifra oficial
258,España,Producción,Aguacates,2012,toneladas,76337.0,A,Cifra oficial
259,España,Área cosechada,Aguacates,2013,ha,10800.0,A,Cifra oficial
260,España,Rendimiento,Aguacates,2013,kg/ha,6425.9,A,Cifra oficial
261,España,Producción,Aguacates,2013,toneladas,69400.0,A,Cifra oficial
262,España,Área cosechada,Aguacates,2014,ha,10893.0,A,Cifra oficial
263,España,Rendimiento,Aguacates,2014,kg/ha,7105.6,A,Cifra oficial
264,España,Producción,Aguacates,2014,toneladas,77401.0,A,Cifra oficial
265,España,Área cosechada,Aguacates,2015,ha,11329.0,A,Cifra oficial
266,España,Rendimiento,Aguacates,2015,kg/ha,7647.3,A,Cifra oficial
267,España,Producción,Aguacates,2015,toneladas,86636.0,A,Cifra oficial
268,España,Área cosechada,Aguacates,2016,ha,11441.0,A,Cifra oficial
269,España,Rendimiento,Aguacates,2016,kg/ha,7998.3,A,Cifra oficial
270,España,Producción,Aguacates,2016,toneladas,91509.0,A,Cifra oficial
271,España,Área cosechada,Aguacates,2017,ha,11812.0,A,Cifra oficial
272,España,Rendimiento,Aguacates,2017,kg/ha,7867.9,A,Cifra oficial
273,España,Producción,Aguacates,2017,toneladas,92936.0,A,Cifra oficial
274,España,Área cosechada,Aguacates,2018,ha,12160.0,A,Cifra oficial
275,España,Rendimiento,Aguacates,2018,kg/ha,7367.6,A,Cifra oficial
276,España,Producción,Aguacates,2018,toneladas,89590.0,A,Cifra oficial
277,España,Área cosechada,Aguacates,2019,ha,14100.0,A,Cifra oficial
278,España,Rendimiento,Aguacates,2019,kg/ha,6931.2,A,Cifra oficial
279,España,Producción,Aguacates,2019,toneladas,97730.0,A,Cifra oficial
280,España,Área cosechada,Aguacates,2020,ha,15850.0,A,Cifra oficial
281,España,Rendimiento,Aguacates,2020,kg/ha,6250.5,A,Cifra oficial
282,España,Producción,Aguacates,2020,toneladas,99070.0,A,Cifra oficial
283,España,Área cosechada,Aguacates,2021,ha,18060.0,A,Cifra oficial
284,España,Rendimiento,Aguacates,2021,kg/ha,6465.7,A,Cifra oficial
285,España,Producción,Aguacates,2021,toneladas,116770.0,A,Cifra oficial
286,España,Área cosechada,Aguacates,2022,ha,19520.0,A,Cifra oficial
287,España,Rendimiento,Aguacates,2022,kg/ha,5426.7,A,Cifra oficial
288,España,Producción,Aguacates,2022,toneladas,105930.0,A,Cifra oficial
289,España,Área cosechada,Aguacates,2023,ha,20040.0,A,Cifra oficial
290,España,Rendimiento,Aguacates,2023,kg/ha,4331.3,A,Cifra oficial
291,España,Producción,Aguacates,2023,toneladas,86800.0,A,Cifra oficial
292,España,Área cosechada,Aguacates,2024,ha,21290.0,A,Cifra oficial
293,España,Rendimiento,Aguacates,2024,kg/ha,5277.6,A,Cifra oficial
294,España,Producción,Aguacates,2024,toneladas,112360.0,A,Cifra oficial
295,España,Área cosechada,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",2005,ha,2633.0,A,Cifra oficial
296,España,Rendimiento,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",2005,kg/ha,2690.5,A,Cifra oficial
297,España,Producción,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",2005,toneladas,7084.0,A,Cifra oficial
298,España,Área cosechada,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",2006,ha,2074.0,A,Cifra oficial
299,España,Rendimiento,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",2006,kg/ha,2761.3,A,Cifra oficial
300,España,Producción,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",2006,toneladas,5727.0,A,Cifra oficial
301,España,Área cosechada,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",2007,ha,1687.0,A,Cifra oficial
302,España,Rendimiento,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",2007,kg/ha,2927.7,A,Cifra oficial
303,España,Producción,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",2007,toneladas,4939.0,A,Cifra oficial
304,España,Área cosechada,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",2008,ha,1722.0,A,Cifra oficial
305,España,Rendimiento,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",2008,kg/ha,2861.9,E,Valor estimado
306,España,Producción,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",2008,toneladas,4928.21,I,Valor imputado por una agencia receptora
307,España,Área cosechada,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",2009,ha,1782.0,A,Cifra oficial
308,España,Rendimiento,"Ajíes y pimientos secos (caspicum y pimenta), en bruto",2009,kg/ha,2982.0,A,Cifra oficial
